"species_code","common_name","scientific_name","bird_group","status_note","brief_description"
"STERNA_PARADISAEA","Arctic Tern","Sterna paradisaea","Gulls, Terns, and Skimmers","No special state or federal status code shown","Gulls, Terns, and Skimmers. Range: breeds circumpolarly, Arctic coasts and inland, from Greenland, Iceland, and British Isles eastward to Kamchatka (eastern Russia), through Aleutian Islands, Alaska mainland through Arctic and subarctic Canada to southeastern Canada; winters subantarctic and Antarctic Ocean to edge of pack-ice Indiana listing: No special state or federal status code shown."
"ICTERUS_GRADUACAUDA","Audubon's Oriole","Icterus graduacauda","Blackbirds and Orioles","No special state or federal status code shown","Blackbirds and Orioles. Range: south-central Texas to central Veracruz and Nayarit to Oaxaca on Pacific slope Indiana listing: No special state or federal status code shown."
"PEUCAEA_AESTIVALIS","Bachman's Sparrow","Peucaea aestivalis","Sparrows","No special state or federal status code shown","Sparrows. Range: pine woodland and open areas with dense scrub in southeastern USA mainly from eastern Texas eastwards through southern North Carolina and southwards to central Florida, with few northward to southern Missouri and southern Virginia Indiana listing: No special state or federal status code shown."
"CALIDRIS_BAIRDII","Baird's Sandpiper","Calidris bairdii","Sandpipers and Phalaropes","No special state or federal status code shown","Sandpipers and Phalaropes. Range: breeds high Arctic dry tundra from Wrangel Island to eastern Chukotskiy Peninsula (northeastern Siberia) through northern and central Alaska, northern Canada including Arctic islands from Banks to Ellesmere and Baffin islands, and northwestern Greenland; winters in mountains and coastally from southern Peru through Chile and southern Argentina Indiana listing: No special state or federal status code shown."
"HALIAEETUS_LEUCOCEPHALUS","Bald Eagle","Haliaeetus leucocephalus","Kites, Eagles, and Hawks","No special state or federal status code shown","Kites, Eagles, and Hawks. Range: various forest and woodland habitats near water from northern Alaska, including the Aleutian Islands and northern Canada eastward to eastern Canada to Labrador, and southward across most US to southern California, the Gulf of Mexico coast and southern Florida; winters southward to northern and northwestern Mexico Indiana listing: No special state or federal status code shown."
"ICTERUS_GALBULA","Baltimore Oriole","Icterus galbula","Blackbirds and Orioles","No special state or federal status code shown","Blackbirds and Orioles. Range: breeds eastern North America (southern Canada to southern USA); winters to northern South America Indiana listing: No special state or federal status code shown."
"HYDROBATES_CASTRO","Band-rumped Storm-Petrel","Hydrobates castro","Storm-Petrels","No special state or federal status code shown","Storm-Petrels. Range: breeds in Atlantic Ocean on Macaronesian and Berlengas islands of western Atlantic, islets near St. Helena and Ascension islands, in Pacific off central Japan, Kauai, and the Galapagos; ranges in Atlantic to Gulf Stream, Gulf of Mexico, western Africa and Gulf of Guinea, in North Pacific, seas off Japan, near main Hawaiian Islands, and coasts of southern Central America to northwestern South America and westward to Marquesas Indiana listing: No special state or federal status code shown."
"PATAGIOENAS_FASCIATA","Band-tailed Pigeon","Patagioenas fasciata","Pigeons and Doves","No special state or federal status code shown","Pigeons and Doves. Range: western North America from southwestern Canada to tepuis of southern Venezuela (Mount Roraima) and mountains of eastern Bolivia and northern Argentina Indiana listing: No special state or federal status code shown."
"RIPARIA_RIPARIA","Bank Swallow","Riparia riparia","Martins and Swallows","No special state or federal status code shown","Martins and Swallows. Range: breeds Holarctic from British Isles and Scandinavia to Iberia and Egypt, eastward to northeastern Siberia and Hokkaido, and Alaska and Canada (except far north) to south-central USA; winters to southern Africa and southern South America Indiana listing: No special state or federal status code shown."
"TYTO_ALBA","Barn Owl","Tyto alba","Barn Owls","Indiana State Endangered","Barn Owls. Range: Range context unavailable in the matched Cornell record. Indiana listing: Indiana State Endangered."
"HIRUNDO_RUSTICA","Barn Swallow","Hirundo rustica","Martins and Swallows","No special state or federal status code shown","Martins and Swallows. Range: Holarctic, breeding from British Isles and southern Scandinavia to North Africa, eastward to northeastern Siberia and Japan, southward to Himalayas, and southern Alaska and Canada to central Mexico, and disjunctly central Argentina; most populations winter in Southern Hemisphere Indiana listing: No special state or federal status code shown."
"BRANTA_LEUCOPSIS","Barnacle Goose","Branta leucopsis","Ducks, Geese, and Swans","No special state or federal status code shown","Ducks, Geese, and Swans. Range: breeds high Arctic eastern Greenland, Svalbard (north of Norway), Novaya Zemlya and nearby Kolguyev and Vaygach islands (northwestern Russia); winters to coastal northern British Isles, southern Scandinavia, and northwestern Europe Indiana listing: No special state or federal status code shown."
"STRIX_VARIA","Barred Owl","Strix varia","Typical Owls","No special state or federal status code shown","Typical Owls. Range: various forest and woodland habitats in western to eastern Canada and far southern Alaska southward in western US to central California and in the Rocky Mountains southward to northeastern Oregon and south-central Idaho; in central and eastern US southward to southern Texas, the Gulf of Mexico coast, and southern Florida Indiana listing: No special state or federal status code shown."
"BUCEPHALA_ISLANDICA","Barrow's Goldeneye","Bucephala islandica","Ducks, Geese, and Swans","No special state or federal status code shown","Ducks, Geese, and Swans. Range: breeds central Alaska southward to Oregon (formerly to northern California) and Wyoming; also in eastern Canada and Iceland; winters from southern Alaska to California and Wyoming, from the Maritime Provinces (Canada) southward to northeastern USA, and Iceland Indiana listing: No special state or federal status code shown."
"SETOPHAGA_CASTANEA","Bay-breasted Warbler","Setophaga castanea","New World Warblers","No special state or federal status code shown","New World Warblers. Range: breeds Canada and northeastern USA; winters Panama and northwestern South America Indiana listing: No special state or federal status code shown."
"VIREO_BELLII","Bell's Vireo","Vireo bellii","Vireos","No special state or federal status code shown","Vireos. Range: breeds in shrubland, riparian scrub, and mesquite brushland disjunctly in coastal southern California southwards to northwestern Baja California, the Colorado River drainage from southern Nevada eastwards to western Texas and southwards to Sinaloa (northwestern Mexico), and from North Dakota eastwards to Wisconsin and Ohio (north-central USA), southwards through northwestern Louiasiana to Durango and southern Nuevo Le<U+00F3>n (north-central Mexico); winters in southern Baja California and the Pacific slope of Mexico from southern Sonora southwards to El Salvador and southwestern Honduras Indiana listing: No special state or federal status code shown."
"MEGACERYLE_ALCYON","Belted Kingfisher","Megaceryle alcyon","Kingfishers","No special state or federal status code shown","Kingfishers. Range: breeds southern Alaska eastward across central and eastern Canada, southward through south-central USA; winters to northern South America including Trinidad and Tobago and West Indies Indiana listing: No special state or federal status code shown."
"THRYOMANES_BEWICKII","Bewick's Wren","Thryomanes bewickii","Wrens","No special state or federal status code shown","Wrens. Range: disjunctly in bushy and scrubby areas, thickets, riparian woodland, and chaparral of far southwestern British Colombia (southwestern Canada) along Pacific coast southwards to southern Baja California, and in interior USA from southern Wyoming to central Missouri southwards through Arizona and eastern Texas to central Oaxaca; very local and declining breeder in eastern USA to Tennessee (formerly more widespread); extinct on San Clemente and Guadalupe islands Indiana listing: No special state or federal status code shown."
"LATERALLUS_JAMAICENSIS","Black Rail","Laterallus jamaicensis","Rails, Gallinules, and Coots","Indiana DNR status SE, FT","Rails, Gallinules, and Coots. Range: coastal central California, breeds eastern seaboard of USA and very locally Kansas, Cuba, and Belize, arid littoral of Peru, and Andes of central Peru (Lake Jun<U+00ED>n), and central Chile (Atacama to Malleco) and far western Argentina Indiana listing: Indiana DNR status SE, FT."
"MELANITTA_AMERICANA","Black Scoter","Melanitta americana","Ducks, Geese, and Swans","No special state or federal status code shown","Ducks, Geese, and Swans. Range: breeds Yana River to Kamchatka (eastern Siberia), Alaska eastward to northwestern Yukon; eastern Northwest Territories and southwestern Nunavut to Newfoundland (central to eastern Canada); winters to central Japan (western North Pacific coast); Aleutian Islands, eastern North Pacific coast to central California; western North Atlantic coast from Newfoundland to northern Florida Indiana listing: No special state or federal status code shown."
"RYNCHOPS_NIGER","Black Skimmer","Rynchops niger","Gulls, Terns, and Skimmers","No special state or federal status code shown","Gulls, Terns, and Skimmers. Range: breeds coastal USA from southern California to western Mexico and Massachusetts to eastern Mexico; river systems of South America from northern Colombia to central Argentina; winters coasts throughout Middle America south to south-central Chile Indiana listing: No special state or federal status code shown."
"CHLIDONIAS_NIGER","Black Tern","Chlidonias niger","Gulls, Terns, and Skimmers","Indiana State Endangered","Gulls, Terns, and Skimmers. Range: breeds inland temperate Canada, USA, and Europe to central Asia; winters coasts and offshore waters, western Africa, and Pacific and Caribbean coastal Mexico to northern South America Indiana listing: Indiana State Endangered."
"CORAGYPS_ATRATUS","Black Vulture","Coragyps atratus","Vultures","No special state or federal status code shown","Vultures. Range: southern and southeastern USA southward through Middle America to central Chile and Argentina (vagrant only to West Indies) Indiana listing: No special state or federal status code shown."
"MNIOTILTA_VARIA","Black-and-white Warbler","Mniotilta varia","New World Warblers","Indiana Special Concern","New World Warblers. Range: breeds Canada to Gulf states; winters Mexico to Peru and West Indies Indiana listing: Indiana Special Concern."
"PICOIDES_ARCTICUS","Black-backed Woodpecker","Picoides arcticus","Woodpeckers","No special state or federal status code shown","Woodpeckers. Range: boreal forest of northern North America Indiana listing: No special state or federal status code shown."
"PLUVIALIS_SQUATAROLA","Black-bellied Plover","Pluvialis squatarola","Plovers","No special state or federal status code shown","Plovers. Range: Holarctic; almost cosmopolitan post-breeding dispersal Indiana listing: No special state or federal status code shown."
"DENDROCYGNA_AUTUMNALIS","Black-bellied Whistling-Duck","Dendrocygna autumnalis","Ducks, Geese, and Swans","No special state or federal status code shown","Ducks, Geese, and Swans. Range: southern USA (where expanding range) to northern Argentina (mainly east of Andes) Indiana listing: No special state or federal status code shown."
"COCCYZUS_ERYTHROPTHALMUS","Black-billed Cuckoo","Coccyzus erythropthalmus","Anis and Cuckoos","Indiana Special Concern","Anis and Cuckoos. Range: breeds eastern North America; winters to Bolivia Indiana listing: Indiana Special Concern."
"PICA_HUDSONIA","Black-billed Magpie","Pica hudsonia","Jays, Magpies, Crows, and Ravens","No special state or federal status code shown","Jays, Magpies, Crows, and Ravens. Range: Alaska and Yukon to western Canada and western USA Indiana listing: No special state or federal status code shown."
"POECILE_ATRICAPILLUS","Black-capped Chickadee","Poecile atricapillus","Chickadees and Titmice","No special state or federal status code shown","Chickadees and Titmice. Range: deciduous and mixed forest and woodland, including gardens and towns, from northwestern Alaska (but not the north slope) eastwards to Newfoundland (eastern Canada), southwards to far northern California, central New Mexico, southern Kansas, and New Jersey, and in Appalachians to far western North Carolina and adjacent Tennessee; some short-range wandering in winter Indiana listing: No special state or federal status code shown."
"ARCHILOCHUS_ALEXANDRI","Black-chinned Hummingbird","Archilochus alexandri","Hummingbirds","No special state or federal status code shown","Hummingbirds. Range: breeds drier parts of southern British Columbia to northwestern Mexico; winters to southern Mexico Indiana listing: No special state or federal status code shown."
"NYCTICORAX_NYCTICORAX","Black-crowned Night-Heron","Nycticorax nycticorax","Bitterns, Herons, and Egrets","Indiana State Endangered","Bitterns, Herons, and Egrets. Range: Range context unavailable in the matched Cornell record. Indiana listing: Indiana State Endangered."
"PHEUCTICUS_MELANOCEPHALUS","Black-headed Grosbeak","Pheucticus melanocephalus","Tanagers, Cardinals, and Grosbeaks","No special state or federal status code shown","Tanagers, Cardinals, and Grosbeaks. Range: breeds southern Alaska and southern British Columbia to southwestern Saskatchewan southward to Guerrero and Oaxaca, central Mexico, westward to Pacific Coast (including northern Baja California), and eastward to central North Dakota to southwestern Texas, western Coahuila, central Puebla, and Oaxaca; nonbreeding range in Mexico along Pacific slope from southern Sonora to Michoac<U+00E1>n, in interior from Zacatecas to Oaxaca, and less commonly on Atlantic slope from Tamaulipas to Oaxaca, and in southern Baja California Indiana listing: No special state or federal status code shown."
"CHROICOCEPHALUS_RIDIBUNDUS","Black-headed Gull","Chroicocephalus ridibundus","Gulls, Terns, and Skimmers","No special state or federal status code shown","Gulls, Terns, and Skimmers. Range: breeds southern Greenland, Iceland, and western Europe eastward across Russia to Yakutsk region (eastern Russia), southward through Caspian Seato northeastern China, also west-central Newfoundland (southeastern Canada); winters to Africa, southern Asia, and eastern North America Indiana listing: No special state or federal status code shown."
"RISSA_TRIDACTYLA","Black-legged Kittiwake","Rissa tridactyla","Gulls, Terns, and Skimmers","No special state or federal status code shown","Gulls, Terns, and Skimmers. Range: breeds on cliffs of high Arctic to temperate north coasts, from Greenland, Iceland, western Europe, Svalbard (north of Norway), north Siberian island to Sakhalin, Kamchatka, Kuril and Commander islands (eastern Russia); Aleutian and Bering Sea islands, western and southwestern Alaska mainland; Canadian high Arctic (northeastern Canada), Gulf of St. Lawrence and Newfoundland (southeastern Canada); winters to western North Atlantic coast and coastal waters south to Virginia; mid-Atlantic Ridge to Azores; North Sea; Japan and Korean Peninsula, and southeastern Alaska to southern California Indiana listing: No special state or federal status code shown."
"HIMANTOPUS_MEXICANUS","Black-necked Stilt","Himantopus mexicanus","Stilts and Avocets","No special state or federal status code shown","Stilts and Avocets. Range: coastal and inland wetlands of western to southeastern USA and Caribbean to central Argentina and southeastern Brazil; also Galapagos and Hawaiian islands Indiana listing: No special state or federal status code shown."
"LIMOSA_LIMOSA","Black-tailed Godwit","Limosa limosa","Sandpipers and Phalaropes","No special state or federal status code shown","Sandpipers and Phalaropes. Range: breeds in subarctic and temperate wet grassland from Iceland, Faroe and British isles, and Scandinavia southward to southwestern France, east through northwestern Russia, northern Kazakhstan, and northern Mongolia eastward to Chukotskiy Peninsula, Kamchatka, Sakhalin, and Amurland (eastern Russia) and Inner Mongolia (northeastern China); winters coastal and inland temperate to tropical wetlands from southern British Isles, southern Europe, Africa (except southern), Middle East, southern Asia, Ryukyu Islands (southern Japan), Taiwan, southeastern China, Philippines, Indonesian Archipelago, southern New Guinea, and Australia Indiana listing: No special state or federal status code shown."
"LARUS_CRASSIROSTRIS","Black-tailed Gull","Larus crassirostris","Gulls, Terns, and Skimmers","No special state or federal status code shown","Gulls, Terns, and Skimmers. Range: breeds coasts and islets of eastern Siberia to Kuril Islands (southeastern Russia), Hokkaido and Honshu (northern and central Japan), Korean Peninsula, eastern China, and Matsu Island (off Taiwan); winters to southward, some reaching southern Vietnam and Philippines Indiana listing: No special state or federal status code shown."
"SETOPHAGA_CAERULESCENS","Black-throated Blue Warbler","Setophaga caerulescens","New World Warblers","No special state or federal status code shown","New World Warblers. Range: breeds deciduous and coniferous forest from Ontario eastwards to Newfoundland (southeastern Canada) and from Minnesota eastwards to Maine (northeastern USA), and in the Appalachian Mountains southwards to northern Georgia; winters mainly in the Greater Antilles, and also Bermuda and the Caribbean coast of Mexico in the Yucatan Peninsula to northern Honduras Indiana listing: No special state or federal status code shown."
"SETOPHAGA_NIGRESCENS","Black-throated Gray Warbler","Setophaga nigrescens","New World Warblers","No special state or federal status code shown","New World Warblers. Range: breeds in open coniferous and deciduous forest in western North America from southern British Columbia (western Canada) southwards to northern Baja California Norte (northwestern Mexico), and inland to Wyoming and Colorado (central USA) southwards to Sonora (northwestern Mexico); winters in Mexico from southern Baja California Sur and on the Pacific slope and interior of Mexico from southern Sonora and Coahuila southwards to Oaxaca Indiana listing: No special state or federal status code shown."
"SETOPHAGA_VIRENS","Black-throated Green Warbler","Setophaga virens","New World Warblers","No special state or federal status code shown","New World Warblers. Range: breeds central Canada to southeastern Canada and north-central to northeastern USA; winters mainly northern Mexico to Costa Rica and West Indies Indiana listing: No special state or federal status code shown."
"SETOPHAGA_FUSCA","Blackburnian Warbler","Setophaga fusca","New World Warblers","No special state or federal status code shown","New World Warblers. Range: breeds eastern North America; winters Costa Rica to Bolivia Indiana listing: No special state or federal status code shown."
"SETOPHAGA_STRIATA","Blackpoll Warbler","Setophaga striata","New World Warblers","No special state or federal status code shown","New World Warblers. Range: breeds Alaska and Canada; winters Colombia to Peru and western Amazonian Brazil Indiana listing: No special state or federal status code shown."
"PASSERINA_CAERULEA","Blue Grosbeak","Passerina caerulea","Tanagers, Cardinals, and Grosbeaks","No special state or federal status code shown","Tanagers, Cardinals, and Grosbeaks. Range: breeds southern and central USA to northwestern Costa Rica; northern populations winter southward to Panama and the Greater Antilles Indiana listing: No special state or federal status code shown."
"CYANOCITTA_CRISTATA","Blue Jay","Cyanocitta cristata","Jays, Magpies, Crows, and Ravens","No special state or federal status code shown","Jays, Magpies, Crows, and Ravens. Range: deciduous, coniferous and mixed forest and woodland from eastern British Columbia eastwards to Newfoundland (southwestern to northeastern Canada), southwards to south-central Texas, the Gulf coast, and southern Florida (southeastern USA) Indiana listing: No special state or federal status code shown."
"POLIOPTILA_CAERULEA","Blue-gray Gnatcatcher","Polioptila caerulea","Gnatcatchers","No special state or federal status code shown","Gnatcatchers. Range: breeds in varied woodland and shrubby habitats, mature deciduous, swamp, and gallery forest from south-central Washington (very local) southwards to southern Baja California (northwestern Mexico) and eastwards to southern Colorado, in Mexico (including the Yucatan Peninsula and Cozumel) to western Guatemala and Belize, and from southern Ontario and southwestern Quebec (southeastern Canada) southwards in eastern USA to central Florida and the Bahamas; winters in southern USA to the Pacific coast of Mexico to Honduras, southern Florida, and Cuba Indiana listing: No special state or federal status code shown."
"VIREO_SOLITARIUS","Blue-headed Vireo","Vireo solitarius","Vireos","No special state or federal status code shown","Vireos. Range: breeds in coniferous, mixed, and deciduous forest from southern Northwest Territories eastwards to Newfoundland (western to eastern Canada), southwards to southern British Columbia, northern tier of northeastern US states, and the Appalachians to northernmost Georgia; winters in southeastern USA, Gulf and Pacific (from Guerrero) slopes of Mexico southwards to Costa Rica Indiana listing: No special state or federal status code shown."
"SPATULA_DISCORS","Blue-winged Teal","Spatula discors","Ducks, Geese, and Swans","No special state or federal status code shown","Ducks, Geese, and Swans. Range: breeds North America (except Arctic and western Alaska), mostly in central prairie regions; winters northern Mexico to Caribbean and coastal northern South America Indiana listing: No special state or federal status code shown."
"VERMIVORA_CYANOPTERA","Blue-winged Warbler","Vermivora cyanoptera","New World Warblers","No special state or federal status code shown","New World Warblers. Range: breeds eastern USA; winters southeastern Mexico to Panama Indiana listing: No special state or federal status code shown."
"DOLICHONYX_ORYZIVORUS","Bobolink","Dolichonyx oryzivorus","Blackbirds and Orioles","No special state or federal status code shown","Blackbirds and Orioles. Range: breeds grassland and meadows of North America; winters to southern South America Indiana listing: No special state or federal status code shown."
"BOMBYCILLA_GARRULUS","Bohemian Waxwing","Bombycilla garrulus","Waxwings","No special state or federal status code shown","Waxwings. Range: breeds northern Europe and northern Asia, and northwestern North America; winters to western Europe, central and eastern Asia, and south of breeding range in North America Indiana listing: No special state or federal status code shown."
"CHROICOCEPHALUS_PHILADELPHIA","Bonaparte's Gull","Chroicocephalus philadelphia","Gulls, Terns, and Skimmers","No special state or federal status code shown","Gulls, Terns, and Skimmers. Range: breeds boreal forest zone from southwestern Alaska mainland across Canada to eastern Quebec (southeastern Canada); winters eastern North Pacific coast southward to west-central Mexico, inland southeastern USA, western North Atlantic coast and offshore Gulf Stream southward to the Bahamas and Cuba Indiana listing: No special state or federal status code shown."
"POECILE_HUDSONICUS","Boreal Chickadee","Poecile hudsonicus","Chickadees and Titmice","No special state or federal status code shown","Chickadees and Titmice. Range: boreal coniferous forest from northwestern Alaska (except north slope) eastwards across northern Canada (south of the Arctic islands) to northern Labrador, southwards to southern Canada, northeastern Washington, and northwestern Idaho,and local and declining in northeastern tier of US states from northern Minnesota eastward to northern New Hampshire and Maine Indiana listing: No special state or federal status code shown."
"FRINGILLA_MONTIFRINGILLA","Brambling","Fringilla montifringilla","Finches","No special state or federal status code shown","Finches. Range: breeds northern Eurasia; winters Mediterranean region and southern Asia Indiana listing: No special state or federal status code shown."
"BRANTA_BERNICLA","Brant","Branta bernicla","Ducks, Geese, and Swans","No special state or federal status code shown","Ducks, Geese, and Swans. Range: breeds Holarctic; winters coasts of Holarctic Indiana listing: No special state or federal status code shown."
"EUPHAGUS_CYANOCEPHALUS","Brewer's Blackbird","Euphagus cyanocephalus","Blackbirds and Orioles","No special state or federal status code shown","Blackbirds and Orioles. Range: western Canada and western USA; winters to southern Mexico Indiana listing: No special state or federal status code shown."
"BUTEO_PLATYPTERUS","Broad-winged Hawk","Buteo platypterus","Kites, Eagles, and Hawks","Indiana Special Concern","Kites, Eagles, and Hawks. Range: breeds central and southern Canada to southeastern USA; resident in Caribbean; winters to Brazil and Bolivia Indiana listing: Indiana Special Concern."
"SULA_LEUCOGASTER","Brown Booby","Sula leucogaster","Boobies and Gannets","No special state or federal status code shown","Boobies and Gannets. Range: widespread tropical and subtropical ocean islands; Cape Verde Islands (southern Macaronesia), Boatswain Bird Island (just off Ascension, south-central South Atlantic Ocean), Alcatraz Island (west of northwestern Guinea), and Gulf of Guinea islands, Caribbean islands off Yucatan Peninsula and Honduras to Panama and southwestern Colombia, Bahamas and Cayman Islands to Lesser Antilles, islands north of Venezuela and Tobago and off Brazil, islands off Somalia and Socotra, Aldabra, and Madagascar, and Chagos Archipelago, Cocos (Keeling), and Christmas islands (tropical Indian Ocean), islands off northern Australia, Tench (St. Matthias group, north-central Bismarck Archipelago), remote islands in Melanesia; many islands of southern Japan including Kyushu; Taiwan; offshore islands of Philippines, Vietnam, and Malaysia, in Flores and Banda seas, from Marianas and Palau through Hawaiian Islands and Gambier Islands (eastern Tuamotu Archipelago; eastern Polynesia) Indiana listing: No special state or federal status code shown."
"CERTHIA_AMERICANA","Brown Creeper","Certhia americana","Creepers","No special state or federal status code shown","Creepers. Range: breeds in coniferous, mixed, and deciduous forest from southern Alaska and British Colombia eastwards to Newfoundland (western to eastern Canada), southwards on Pacific coast and mountains of western USA to southern California, mountains of Mexico to northwestern Nicaragua, northeastern USA, and southwards along the Appalachians (to eastern Tennessee and western North Carolina), with isolated populations along the US Atlantic coast (to southeastern Maryland); winters in wider range of habitats including edge, riparian areas, and orchards at lower elevations from southern Canada to northeastern Mexico and central Florida Indiana listing: No special state or federal status code shown."
"PELECANUS_OCCIDENTALIS","Brown Pelican","Pelecanus occidentalis","Pelicans","No special state or federal status code shown","Pelicans. Range: breeds coastal southern California to Ecuador including Galapagos; Maryland through Caribbean; non-breeders range to southwestern coastal British Columbia and southward to northern Peru Indiana listing: No special state or federal status code shown."
